2024-09-30 01:29:15 - 0.1, 1.1555555555555557, 0.3111111111111111, 31.7, 31.7, 4.001249804748511, [29, 33, 26, 24, 32, 39, 35, 31, 34, 29, 36, 32, 32, 33, 27, 28, 34, 39, 27, 34]
2024-09-30 01:29:49 - 0.1, 1.1555555555555557, 0.5222222222222223, 32.78947368421053, 33.35, 4.574658457196559, [30, 31, 32, 36, 33, 35, 39, 26, 39, 28, 29, 37, 26, 31, 37, 33, 44, 30, 37, 34]
2024-09-30 01:30:22 - 0.1, 1.1555555555555557, 0.7333333333333333, 33.05555555555556, 34.35, 5.27517772212463, [34, 29, 26, 32, 42, 26, 35, 33, 32, 32, 35, 35, 35, 47, 36, 29, 36, 33, 35, 45]
2024-09-30 01:30:56 - 0.1, 1.1555555555555557, 0.9444444444444444, 34.85, 34.85, 5.082076347321043, [28, 36, 27, 37, 33, 44, 40, 44, 32, 31, 38, 39, 34, 34, 32, 26, 35, 34, 31, 42]
2024-09-30 01:31:29 - 0.1, 1.1555555555555557, 1.1555555555555557, 37.0, 37.6, 5.416641025580336, [35, 43, 31, 34, 36, 31, 49, 43, 41, 38, 40, 38, 36, 27, 39, 42, 38, 46, 30, 35]
2024-09-30 01:32:03 - 0.1, 1.1555555555555557, 1.3666666666666667, 36.05, 36.05, 4.165033013074447, [32, 39, 41, 29, 33, 43, 34, 32, 38, 36, 31, 38, 36, 30, 38, 32, 44, 38, 38, 39]
2024-09-30 01:32:37 - 0.1, 1.1555555555555557, 1.577777777777778, 36.5, 36.5, 5.380520420925842, [35, 39, 40, 38, 39, 24, 34, 32, 38, 47, 33, 35, 38, 38, 29, 49, 35, 33, 39, 35]
2024-09-30 01:33:10 - 0.1, 1.1555555555555557, 1.788888888888889, 38.94736842105263, 39.55, 4.9545433694741225, [39, 38, 46, 41, 40, 49, 42, 41, 33, 40, 51, 35, 34, 39, 36, 45, 33, 36, 38, 35]
2024-09-30 01:33:44 - 0.1, 1.1555555555555557, 2.0, 37.45, 37.45, 4.318275118609281, [37, 41, 42, 42, 35, 30, 31, 42, 33, 41, 35, 37, 46, 40, 40, 41, 35, 36, 33, 32]
2024-09-30 01:34:16 - 0.1, 1.3666666666666667, 0.1, 32.35, 32.35, 4.362052269287933, [38, 31, 32, 31, 36, 28, 30, 29, 29, 29, 39, 32, 38, 37, 28, 31, 28, 35, 25, 41]
2024-09-30 01:34:49 - 0.1, 1.3666666666666667, 0.3111111111111111, 33.6, 33.6, 4.862098312457287, [34, 28, 28, 28, 36, 39, 43, 38, 30, 34, 32, 35, 40, 26, 35, 33, 35, 33, 25, 40]
2024-09-30 01:35:23 - 0.1, 1.3666666666666667, 0.5222222222222223, 31.7, 31.7, 4.038564101261734, [39, 28, 35, 25, 34, 35, 35, 32, 29, 29, 31, 25, 35, 38, 28, 30, 35, 35, 28, 28]
2024-09-30 01:35:56 - 0.1, 1.3666666666666667, 0.7333333333333333, 36.7, 36.7, 4.196427051671457, [31, 32, 36, 36, 34, 40, 45, 41, 44, 35, 33, 34, 42, 33, 39, 30, 37, 36, 41, 35]
2024-09-30 01:36:30 - 0.1, 1.3666666666666667, 0.9444444444444444, 35.73684210526316, 36.25, 4.299709292498738, [39, 31, 43, 32, 31, 39, 36, 37, 35, 40, 38, 38, 34, 36, 46, 29, 41, 31, 33, 36]
2024-09-30 01:37:03 - 0.1, 1.3666666666666667, 1.1555555555555557, 33.73684210526316, 34.5, 6.15223536610881, [40, 39, 36, 37, 27, 25, 36, 40, 30, 28, 32, 36, 29, 43, 49, 38, 36, 29, 25, 35]
2024-09-30 01:37:37 - 0.1, 1.3666666666666667, 1.3666666666666667, 36.1578947368421, 36.95, 5.454126877878805, [33, 38, 34, 39, 37, 52, 43, 28, 35, 36, 38, 32, 34, 35, 44, 35, 30, 43, 32, 41]
2024-09-30 01:38:10 - 0.1, 1.3666666666666667, 1.577777777777778, 37.26315789473684, 37.95, 5.652211956393709, [32, 43, 46, 36, 39, 51, 30, 39, 35, 34, 37, 28, 33, 44, 39, 39, 45, 38, 32, 39]
2024-09-30 01:38:44 - 0.1, 1.3666666666666667, 1.788888888888889, 36.5, 36.5, 3.7616485747608057, [36, 42, 36, 34, 39, 38, 30, 34, 36, 40, 39, 37, 34, 30, 44, 36, 32, 38, 33, 42]
2024-09-30 01:39:18 - 0.1, 1.3666666666666667, 2.0, 37.666666666666664, 37.65, 3.91503512117069, [33, 45, 39, 40, 37, 37, 37, 38, 40, 41, 34, 34, 40, 35, 40, 36, 38, 46, 29, 34]
2024-09-30 01:39:49 - 0.1, 1.577777777777778, 0.1, 31.22222222222222, 31.95, 2.8543825952384165, [32, 32, 32, 30, 29, 30, 32, 39, 33, 36, 33, 28, 28, 30, 31, 30, 31, 38, 32, 33]
2024-09-30 01:40:23 - 0.1, 1.577777777777778, 0.3111111111111111, 30.444444444444443, 31.35, 3.6779749863205975, [27, 27, 40, 32, 30, 33, 26, 31, 33, 39, 31, 28, 30, 30, 31, 29, 35, 36, 29, 30]
